,SHAPE
777,16.372121993722654 48.212571388842655
778,16.371510742538018 48.20734930722193
779,16.371486647381275 48.207918135858336
780,16.36870151724148 48.20164222687027
781,16.36256512707364 48.21327644316955
782,16.36296304979788 48.21247178041611
783,16.368925693364822 48.20910708533875
784,16.37386060355513 48.20398158693591
785,16.37073057084276 48.205008788518285
786,16.36735152661747 48.2126936520105
787,16.37748015794452 48.20958482834005
788,16.37394567890448 48.21190881302772
789,16.38174915816867 48.210715010108444
790,16.378379651188983 48.20799764779617
791,16.368859516396082 48.202169691592566
792,16.37317718975733 48.21606708600065
793,16.37338887591736 48.215852865935254
794,16.371473571494665 48.205143820618105
795,16.370827063081617 48.204455496206904
796,16.3572976558888 48.2108389768662
797,16.381903473253313 48.21115129960851
798,16.358244242320982 48.212722204415776
799,16.376149447725133 48.20920002975981
800,16.378940214493873 48.208869333090526
801,16.363233871092053 48.212453952599056
802,16.37451788069533 48.20409126658647
803,16.375100885356673 48.20382963734849
804,16.367915352628856 48.20992502617342
805,16.373197478943283 48.21159750924684
806,16.35755179898434 48.21332631965628
807,16.371048096939433 48.20642548502175
808,16.3572976558888 48.2108389768662
809,16.378057651853176 48.20679968872266
810,16.37003815194517 48.20384311299949
811,16.367978592795243 48.20407791166707
812,16.374092463685404 48.21316457695462
813,16.36302915985916 48.2108561717449
814,16.37839066926215 48.20945184730394
815,16.363473837338322 48.2126485215038
816,16.377308450242577 48.209722126470155
817,16.375222352046457 48.20451514976045
818,16.368890991394263 48.212284572052205
819,16.37539184849256 48.20836536049833
820,16.38035856571996 48.21054890915921
821,16.37003815194517 48.20384311299949
822,16.36909122351426 48.20510207756793
823,16.374092463685404 48.21316457695462
824,16.369084309900785 48.20572531269907
825,16.37486466777794 48.208319943690064
826,16.36879984356388 48.20542996646921
827,16.372307303526668 48.21203587474551
828,16.35855697936833 48.21401995424341
829,16.371487950754663 48.212499247766154
830,16.371638660059663 48.21252107551285
831,16.374289681507193 48.21328744887853
832,16.375911774096057 48.207670632668325
833,16.363759992706907 48.2037593575001
834,16.374289681507193 48.21328744887853
835,16.370751650593103 48.20554477836056
836,16.36879984356388 48.20542996646921
837,16.373769443721166 48.215319743292184
838,16.371596880470754 48.205835181730315
839,16.363617284403624 48.203565677594156
840,16.373292480928725 48.21366818837779
841,16.373214528565054 48.21600520788866
842,16.37335333755331 48.21594210715639
843,16.3762143952961 48.20828845443394
844,16.372126410628756 48.20773807292605
845,16.374062566526366 48.20310908749227
846,16.357758021476258 48.21287716002844
847,16.37757085213858 48.2094290331497
848,16.377040057063635 48.20198921895894
849,16.374062566526366 48.20310908749227
850,16.372126410628756 48.20773807292605
851,16.360551341026145 48.20574788609936
852,16.37865925803495 48.208027582063835
853,16.37671131420142 48.2076651398696
854,16.37005973925696 48.20434447900739
855,16.363900936446964 48.21213497949621
856,16.378459029852188 48.21028081694415
857,16.376909119633776 48.20922485390666
858,16.36732572512971 48.21251363197478
859,16.35786681380615 48.21209014342104
860,16.37188348372737 48.20743480738123
861,16.36623878260117 48.212064963441215
862,16.378851203661082 48.20926344904463
863,16.371652031172964 48.206793662412444
864,16.382948489151733 48.20991539073592
865,16.363234018853866 48.21124741844196
866,16.37536289206776 48.203218098707886
867,16.370454757995226 48.204786378799945
868,16.370396295225266 48.20326285372124
869,16.36764775414789 48.212339869910586
870,16.363094566190043 48.211396199009044
871,16.371787487984328 48.206950552208276
872,16.37724531504912 48.20985021248366
873,16.37130067826569 48.21239411698403
874,16.362533561436322 48.21312248663082
875,16.371555644255732 48.208273526682476
876,16.378851203661082 48.20926344904463
877,16.368855642824272 48.20854511274549
878,16.373583931104886 48.213847328507335
879,16.370221110219717 48.20464426542189
880,16.357618768865173 48.213552576367064
881,16.362736079020127 48.21132145897452
882,16.371418397154482 48.20562225282598
883,16.370221110219717 48.20464426542189
884,16.379736048246187 48.209998101073545
885,16.371511216313802 48.20735153289841
886,16.370454757995226 48.204786378799945
887,16.381296178812935 48.210929047625775
888,16.368534911893015 48.20559866439921
889,16.37638375284187 48.208244958011704
890,16.370322283004125 48.20788215541588
891,16.370183304872793 48.2048457248759
892,16.3633004305638 48.21113939425145
893,16.376438601555908 48.20201416278304
894,16.377026654051765 48.20948786379364
895,16.382287725144696 48.21067000893786
896,16.37042622261822 48.20436253658673
897,16.372628653652185 48.21227337389206
898,16.363547492933478 48.21320237883889
899,16.37332659146643 48.215882629339006
900,16.373492027617328 48.215716013390384
901,16.379813230653934 48.2111795420845
902,16.379081233064117 48.20964425310917
903,16.375669906611247 48.20795607369267
904,16.37251638402122 48.20137470334002
905,16.3783505012654 48.208544806008476
906,16.37546227479433 48.20440130362428
907,16.371736767188125 48.20598172803841
908,16.366012127513514 48.20983181106295
909,16.373365587751373 48.215651809625975
910,16.38147581376781 48.21063408936259
911,16.363863646365093 48.20337846936873
912,16.377206564410713 48.20883992819162
913,16.358277686053306 48.212893338817
914,16.371471626110896 48.21228167457597
915,16.373810256439103 48.21329282306078
916,16.373810256439103 48.21329282306078
917,16.3668354973215 48.21223252906831
918,16.37067182339438 48.204000856222315
919,16.376831709593112 48.20254480468665
920,16.37365816897776 48.21176861308768
921,16.369743148096436 48.20162223188425
922,16.376761356179948 48.206974622651295
923,16.376336727343308 48.20781240056739
924,16.378796215841604 48.211095747494355
925,16.379108589703126 48.20909949667602
926,16.360549104458684 48.205749565609274
927,16.379108589703126 48.20909949667602
928,16.366971720129328 48.21299340836704
929,16.375482275870418 48.20276237103152
930,16.369870637833166 48.2031971787582
931,16.373701440898827 48.21132640258349
932,16.367469378165314 48.203599739630725
933,16.37099732813643 48.20595929173882
934,16.367525230481828 48.213560910102636
935,16.37498547894322 48.20297037351047
936,16.363532303648146 48.21217257054422
937,16.379108589703126 48.20909949667602
938,16.374187052702652 48.208254969137904
939,16.37648480957882 48.21014644870996
940,16.373675201878445 48.21546611069904
941,16.368278091448204 48.209702163323115
942,16.37013237371193 48.20411998662159
943,16.369962864767796 48.20800672791292
944,16.368233365116357 48.2137022677083
945,16.37032043257207 48.20732556552008
946,16.366107594079836 48.20603506618149
947,16.363180915233368 48.21209845884032
948,16.368314915283026 48.20941976597923
949,16.371493462707278 48.207264416527686
950,16.373278565119964 48.215936183231825
951,16.379386674173475 48.21082896794673
952,16.37708226064286 48.207342061767775
953,16.372218676912762 48.21229104007428
954,16.358200701965675 48.213165308363095
955,16.379121536289556 48.21001640706554
956,16.3751316339312 48.208536050440905
957,16.379429868082568 48.210992088623314
958,16.37458836122635 48.20856402249618
959,16.37765602541676 48.208769080031495
960,16.37341732460373 48.215805267353524
961,16.376510773140026 48.20774462061866
962,16.37540873969097 48.20810904795848
963,16.379114942857 48.20949002660814
964,16.37708226064286 48.207342061767775
965,16.36799068667906 48.20391627395353
966,16.369515908025953 48.20113639563687
967,16.366670858442383 48.21232727145827
968,16.38119509899025 48.20997283856912
969,16.368450010941917 48.20922169741627
970,16.379114942857 48.20949002660814
971,16.38119509899025 48.20997283856912
972,16.38099849388004 48.21086378350317
973,16.366825194290673 48.21255421906377
974,16.371589047569593 48.21234498931688
975,16.37039578653878 48.20713947333291
976,16.375841072181647 48.20311631106324
977,16.376620550304477 48.20265528821823
978,16.377065087217176 48.20689573428618
979,16.37108819206212 48.20662656129654
980,16.37509977078552 48.203424402906144
981,16.37286375781404 48.21176005629171
982,16.38225002630253 48.20839482983286
983,16.369126054923385 48.21227811965146
984,16.3688350613538 48.213622867936536
985,16.3707316324229 48.20501092139179
986,16.37509977078552 48.203424402906144
987,16.371888824223227 48.21298047291887
988,16.37606711019927 48.208341475754395
989,16.3705449286969 48.20382992224317
990,16.368457717827805 48.21163322626132
991,16.37107540387091 48.204638613002274
992,16.377251909870605 48.202457330907
993,16.368854784380183 48.2027622001433
994,16.367392011047265 48.203961876574276
995,16.357539461301712 48.21213499104661
996,16.368854784380183 48.2027622001433
997,16.370283715737795 48.20896423107173
998,16.370283715737795 48.20896423107173
999,16.367568970251753 48.21291500565722
1000,16.36894922392573 48.212448501726534
1001,16.369958524883124 48.204889678172
1002,16.36649451782479 48.21197559357212
1003,16.368002529454124 48.21359369393554
1004,16.374682845265873 48.2082497677548
1005,16.370607754052966 48.20362719608241
1006,16.371745908366353 48.206747228342884
1007,16.367769510154343 48.20993882602221
1008,16.376932003474995 48.20754464253294
1009,16.36308928771231 48.213644413617594
1010,16.371046948801403 48.20829922304043
1011,16.36922935607931 48.20908855592657
1012,16.36099665226047 48.2103508508131
1013,16.373700039060743 48.21534950923178
1014,16.362966058775456 48.21369561381866
1015,16.377155907116013 48.20942864236986
1016,16.373925028541557 48.213650895083006
1017,16.371078229609235 48.206221509568884
1018,16.36255613059781 48.20991334268236
1019,16.373925028541557 48.213650895083006
1020,16.369307747545623 48.2050542639632
1021,16.369831766171128 48.20197860765011
1022,16.362579571523735 48.20422161716386
1023,16.367968961038105 48.211755040839314
1024,16.37734523851233 48.2094572630209
1025,16.36992923297183 48.21700966374355
1026,16.377628668572964 48.20954727311356
1027,16.37186324368333 48.207157013062364
1028,16.35691175251374 48.2121070473884
1029,16.35691175251374 48.2121070473884
1030,16.365230687677347 48.21014247354948
1031,16.369372651256743 48.20846942138046
1032,16.378072588500746 48.207956391409816
1033,16.365261497670485 48.2122435434448
1034,16.376032419481895 48.204905357324684
1035,16.368657708518775 48.209153740044194
1036,16.373771260614475 48.21536971166365
1037,16.373257295025834 48.21606349075737
1038,16.376213752292085 48.20246390286698
1039,16.375176868961805 48.208218664360686
1040,16.368313282711732 48.20392761989211
1041,16.376213752292085 48.20246390286698
1042,16.369716823738838 48.20847894409924
1043,16.379068397580507 48.21010989972459
1044,16.36307094071714 48.21232860391313
1045,16.376213752292085 48.20246390286698
1046,16.373111378603607 48.21614443888042
1047,16.377181563094993 48.20786012581791
1048,16.367649535500615 48.20957031691858
1049,16.37046421242653 48.20866641182906
1050,16.368547585169473 48.21182376717306
1051,16.36767818338861 48.20337022392446
1052,16.3785435037488 48.20960071871553
1053,16.363202491768114 48.21250059070212
1054,16.37046421242653 48.20866641182906
1055,16.36937967919442 48.209349675615854
1056,16.372134071358204 48.212909080206316
1057,16.36909357651847 48.201950467810526
1058,16.37563220636568 48.2052951719636
1059,16.37662966857364 48.201549145636996
1060,16.363687040221414 48.21241824524352
1061,16.368311072048215 48.20392931483482
1062,16.372617235145892 48.21192084353012
1063,16.362291085971776 48.21443680994694
1064,16.363066045139224 48.212943488122086
1065,16.371908050477657 48.20754973310547
1066,16.37320960486875 48.21200752846438
1067,16.3733210937533 48.21323002984636
1068,16.370767823501694 48.20419012396613
1069,16.370114728128566 48.20876481154895
1070,16.37313627997862 48.21611468763283
1071,16.371686222789453 48.21251911917911
1072,16.370826177246414 48.20573352366741
1073,16.370114728128566 48.20876481154895
1074,16.365553864667625 48.21012368540672
1075,16.3667957185532 48.203669835530654
1076,16.37167982641419 48.20613139289625
1077,16.36843795137294 48.21293715785862
1078,16.373748130971627 48.20623409118615
1079,16.375922382961285 48.20839683423761
1080,16.36874696485969 48.21198981545096
1081,16.367266925397665 48.21164092934674
1082,16.375162969603196 48.21088928788729
1083,16.373765277172478 48.21140606159099
1084,16.36455602966732 48.2023127825667
1085,16.364527294577023 48.211635107762056
1086,16.366203203625915 48.21151558987721
1087,16.375882076703153 48.2086446113799
1088,16.374861441702755 48.2104651870459
1089,16.36587013117355 48.21583096648823
1090,16.362251899054773 48.213481452071136
1091,16.36086069578922 48.21301871722258
1092,16.376834628480303 48.20809677086626
1093,16.377758335321484 48.20319198536161
1094,16.36461494638544 48.21273366289705
1095,16.36987903613009 48.203284500535446
1096,16.368233417325914 48.214216319633294
1097,16.372817805023896 48.21034345964658
1098,16.35794898723446 48.21231414880966
1099,16.366203203625915 48.21151558987721
1100,16.37697173853778 48.20827811549217
1101,16.37770955973425 48.2081007232643
1102,16.37377087137498 48.20490180322924
1103,16.3687680763017 48.215779728481344
1104,16.37377087137498 48.20490180322924
1105,16.368742604248794 48.2125391221773
1106,16.36539657307741 48.21318762382787
1107,16.366589583424073 48.20569551275561
1108,16.362024617678454 48.21361392312788
1109,16.369754311728123 48.216829221380124
1110,16.36593857445481 48.20832584195174
1111,16.374061179369825 48.20414573725467
1112,16.374810392401447 48.2100351486018
1113,16.36766920175772 48.21026395837774
1114,16.366513148589192 48.21344561923583
1115,16.368742604248794 48.2125391221773
1116,16.365010077340354 48.21406150198658
1117,16.361302192442984 48.21359886344843
1118,16.369710467322022 48.21275072367036
1119,16.372584018002627 48.21023957242344
1120,16.362054948297658 48.2110037044116
1121,16.363966959084447 48.21180608169151
1122,16.374810392401447 48.2100351486018
1123,16.380472915100825 48.20865714172492
1124,16.366166920746053 48.21089784281291
1125,16.380729891017268 48.208340211198504
1126,16.37678288465109 48.20833708801382
1127,16.36653086968572 48.20792108189266
1128,16.376461222651443 48.207009981756805
1129,16.362373083060273 48.20268265346679
1130,16.376276282874226 48.2093176168386
1131,16.3684636867847 48.216335577632435
1132,16.36513082365812 48.21581146021615
1133,16.368676198789856 48.21179243445222
1134,16.364424110566794 48.21364697071295
1135,16.363966959084447 48.21180608169151
1136,16.372584018002627 48.21023957242344
1137,16.368357686875726 48.212398846654104
1138,16.37807292934536 48.20623167120182
1139,16.357473670787652 48.212474946749715
1140,16.362054948297658 48.2110037044116
1141,16.375042079370655 48.20949349885769
1142,16.378291155993473 48.2059612254105
1143,16.3684636867847 48.216335577632435
1144,16.36803434006938 48.21216565287256
1145,16.37411411958342 48.20660383782998
1146,16.356279983911406 48.213047220406956
1147,16.36238543512131 48.21026852392867
1148,16.366173863703253 48.21609654688203
1149,16.365228197011714 48.21144613076148
1150,16.36406584322522 48.21252452555647
1151,16.37434955425336 48.20658955051564
1152,16.375751364674567 48.21152131685981
1153,16.36654171143543 48.208507796697724
1154,16.37411426736557 48.21098857169962
1155,16.37182837875418 48.20500044892642
1156,16.371814848306045 48.203921355948495
1157,16.374721953125427 48.209085854236115
1158,16.37335870653365 48.204788712722326
1159,16.375238391340748 48.2042006511887
1160,16.376728260278835 48.20731664656547
1161,16.35666578954933 48.21245063234026
1162,16.36413876257338 48.20245089416971
1163,16.365475361343208 48.210502014123364
1164,16.377448475633177 48.21168025912171
1165,16.37595957675418 48.2034411054593
1166,16.37411426736557 48.21098857169962
1167,16.36539123144771 48.21373135476969
1168,16.367184507994892 48.21686474789465
1169,16.364478659980207 48.20739741294945
1170,16.36304810375063 48.202586539659606
1171,16.36557218825011 48.21110600972334
1172,16.366387795151034 48.20897035856849
1173,16.376130511333688 48.20855351383427
1174,16.37660515791883 48.20817500296148
1175,16.37317501031046 48.20489848940641
1176,16.376897888933126 48.20863652150635
1177,16.36689593636488 48.21362016561465
1178,16.377963447000223 48.20775858031928
1179,16.37474107568456 48.20427528319153
1180,16.369025170164203 48.21589872528768
1181,16.363123192131663 48.21184396444828
1182,16.367589049562145 48.209229940178034
1183,16.368042000820967 48.205190654669764
1184,16.365920023278882 48.21113739637992
1185,16.374973208242324 48.208982617406335
1186,16.36348502946217 48.211632448458175
1187,16.374973208242324 48.208982617406335
1188,16.369288913808408 48.21318503832062
1189,16.373403170138737 48.20970205498283
1190,16.37658340284727 48.20839804247285
1191,16.36395656056707 48.21496477000911
1192,16.37569204256409 48.206475691866366
1193,16.379177769406528 48.206464642370975
1194,16.368554932635664 48.21749425372788
1195,16.36395656056707 48.21496477000911
1196,16.37165570840208 48.203745317848984
1197,16.37711048708049 48.202922601125856
1198,16.36298193553832 48.202368109600066
1199,16.369485994314477 48.217879076431025
1200,16.372436119179028 48.20372645807848
1201,16.364417987521445 48.21303507407993
1202,16.37562255825896 48.21077042768556
1203,16.368143383986443 48.21225321646415
1204,16.37177344538658 48.21075603719161
1205,16.37269628277084 48.20369480940212
1206,16.367589049562145 48.209229940178034
1207,16.368042000820967 48.205190654669764
1208,16.380972123365332 48.20516290143524
1209,16.37550399744946 48.20161473757579
1210,16.371473571494665 48.205143820618105
1211,16.358244242320982 48.212722204415776
1212,16.362699231160644 48.20251458504631
1213,16.367564537914472 48.210450384046005
1214,16.371382058859904 48.205358018761785
1215,16.361967165480483 48.213301490293304
1216,16.378379651188983 48.20799764779617
1217,16.376149447725133 48.20920002975981
1218,16.37571284482819 48.20151969734843
1219,16.374105788878786 48.20882784790433
1220,16.376914008847244 48.20301188381563
1221,16.36593705629961 48.20791689994142
1222,16.37451788069533 48.20409126658647
1223,16.367292180621728 48.21379137957932
1224,16.375100885356673 48.20382963734849
1225,16.371623567642924 48.20434769409147
1226,16.366067265276936 48.21331719532194
1227,16.38095170006491 48.208122758811854
1228,16.373945395413898 48.206406402277224
1229,16.37539184849256 48.20836536049833
1230,16.36946447863478 48.21603718409346
1231,16.36378131728824 48.20838573625733
1232,16.379982475039792 48.208474317814705
1233,16.366181586536037 48.21618647693915
1234,16.36378131728824 48.20838573625733
1235,16.36713087232639 48.21183135246148
1236,16.37569292876385 48.20937330721001
1237,16.36378131728824 48.20838573625733
1238,16.378135083032777 48.2077083355683
1239,16.380197442439847 48.2087464603753
1240,16.37339340867746 48.210898335840504
1241,16.368583144770685 48.21599489206761
1242,16.38033178082994 48.20834908836616
1243,16.366488205975067 48.21404502335782
1244,16.372785978778165 48.20347672835266
1245,16.357175107781174 48.212513402805584
1246,16.364621656791563 48.2124597279634
1247,16.36675138797577 48.20679471233266
1248,16.363535855630452 48.205017522991014
1249,16.37568823420583 48.20397602635769
1250,16.366488205975067 48.21404502335782
1251,16.367689641189408 48.21703242358119
1252,16.37183137966222 48.20428521675984
1253,16.372912421001153 48.20342926038629
1254,16.363900936446964 48.21213497949621
1255,16.375319757578616 48.20998542348213
1256,16.375489418170584 48.20945116839593
1257,16.37895059293192 48.206147530831615
1258,16.37865925803495 48.208027582063835
1259,16.37525000057438 48.20955251374242
1260,16.367535598128363 48.211811367619205
1261,16.365128895265194 48.21201978263826
1262,16.368827753771992 48.21165560465903
1263,16.37525000057438 48.20955251374242
1264,16.372898853866566 48.20928520185004
1265,16.37414390181539 48.209397032304324
1266,16.37414390181539 48.209397032304324
1267,16.36827111050147 48.21725250611983
1268,16.37017657290148 48.2127547234697
1269,16.362798288231076 48.212705680061994
1270,16.365128895265194 48.21201978263826
1271,16.36179351589096 48.21127607762385
1272,16.36179351589096 48.21127607762385
1273,16.36697870129062 48.20960665160159
1274,16.357758021476258 48.21287716002844
1275,16.36697870129062 48.20960665160159
1276,16.369304609149946 48.216652185843344
1277,16.377380553453058 48.21171427786212
1278,16.36849213902105 48.2156517431947
1279,16.36711938587776 48.20929634774592
1280,16.37126349508792 48.20406487778684
1281,16.374901071082693 48.21091654320813
1282,16.366541250184717 48.209092266127215
1283,16.37414390181539 48.209397032304324
1284,16.3762143952961 48.20828845443394
1285,16.35681953763967 48.212997482051726
1286,16.364294939899803 48.21169421616071
1287,16.36764775414789 48.212339869910586
1288,16.374901071082693 48.21091654320813
1289,16.37620496147724 48.206716172863956
1290,16.37634514605467 48.20687962069684
1291,16.37394090378525 48.210357305067504
1292,16.36587322386449 48.213271228315776
1293,16.372488204128288 48.20055631920291
1294,16.367938453634668 48.21507255519665
1295,16.363094566190043 48.211396199009044
1296,16.35869757779739 48.21275781938485
1297,16.37638375284187 48.208244958011704
1298,16.36220473614836 48.210801323185414
1299,16.376506857021198 48.20668560719434
1300,16.375771356261687 48.20918127498346
1301,16.374359419676725 48.21116826482567
1302,16.375939193119663 48.20387251762851
1303,16.36179351589096 48.21127607762385
1304,16.373729372518337 48.20996419099147
1305,16.367060991313114 48.20495293056504
1306,16.375868394849764 48.21165518543819
1307,16.37361167258928 48.21055904078271
1308,16.37361167258928 48.21055904078271
1309,16.37394090378525 48.210357305067504
1310,16.372069004764978 48.20510865239053
1311,16.369881420997825 48.21264824091771
1312,16.362590469627612 48.21260253815213
1313,16.362736079020127 48.21132145897452
1314,16.366012127513514 48.20983181106295
1315,16.362660885163134 48.20302576901057
1316,16.368534911893015 48.20559866439921
1317,16.366873168579936 48.21672138991972
1318,16.37486381251065 48.201297044332556
1319,16.366249575026323 48.2148661662081
1320,16.367842386253315 48.20563944302047
1321,16.37330646192619 48.20509854623475
1322,16.357154824518904 48.21292673458015
1323,16.368819581052072 48.212767707792494
1324,16.368819581052072 48.212767707792494
1325,16.375573909757044 48.20872013914945
1326,16.368257580670978 48.20484636905112
1327,16.364143628617878 48.21427377626487
1328,16.3667563536532 48.209482065044064
1329,16.358277686053306 48.212893338817
1330,16.365938838455747 48.21364955574148
1331,16.376341384533404 48.20362101696875
1332,16.370210371975762 48.216443008735915
1333,16.377404318403805 48.21165077723803
1334,16.36730572730103 48.21061578220646
1335,16.37526805921839 48.21119600265261
1336,16.381317976872385 48.208482793896444
1337,16.37583365554171 48.21092719666742
1338,16.367949583465403 48.212403636792295
1339,16.37433303150706 48.20871906348756
1340,16.378506493016456 48.20603637186035
1341,16.376761356179948 48.206974622651295
1342,16.36388190757778 48.212777189453696
1343,16.3744480138993 48.204573596611
1344,16.366446322863933 48.21649307580665
1345,16.37902234007491 48.20780423544988
1346,16.377206564410713 48.20883992819162
1347,16.362551784937136 48.20931223700497
1348,16.37067182339438 48.204000856222315
1349,16.363152933050426 48.20714148742401
1350,16.373918411575385 48.20630320851981
1351,16.3668354973215 48.21223252906831
1352,16.371297646368696 48.20383877762611
1353,16.36834788172532 48.20473391227732
1354,16.367636965690735 48.20772275338681
1355,16.374518732933296 48.2091926717739
1356,16.366735552334106 48.21431394471251
1357,16.36758273013257 48.21165397348217
1358,16.372190459758272 48.20353075283389
1359,16.377494413399653 48.20757160109503
1360,16.374518732933296 48.2091926717739
1361,16.373037676393512 48.20493612525578
1362,16.37653131443587 48.20632035684702
1363,16.377353319001873 48.21164620899539
1364,16.37556336544019 48.21130878188932
1365,16.36766079325146 48.214101005269384
1366,16.362790234603388 48.212181197728285
1367,16.372650755580416 48.210430117506036
1368,16.362561840552257 48.206803741389166
1369,16.3751316339312 48.208536050440905
1370,16.374642964569254 48.206560584360496
1371,16.364249911421414 48.21227150159283
1372,16.364509309843207 48.21320277498435
1373,16.377370312799208 48.21169611524235
1374,16.369238871791502 48.21257953973232
1375,16.36161284839151 48.212163028618406
1376,16.36597843139957 48.206560419122376
1377,16.37650509572792 48.20668369225644
1378,16.372683530289205 48.21073021071916
1379,16.365370378477195 48.207909244735994
1380,16.373136336435124 48.2094813576786
1381,16.37066867988741 48.20400165576521
1382,16.367885493961246 48.20547048351359
1383,16.36513397372304 48.21090530259884
1384,16.375571066383237 48.20872134071968
1385,16.37458836122635 48.20856402249618
1386,16.37765602541676 48.208769080031495
1387,16.362480912646717 48.21121467834185
1388,16.364433910675334 48.21207246360364
1389,16.3624669241839 48.212536414241065
1390,16.373158596664464 48.2037781185834
1391,16.362800146013914 48.20902772416229
1392,16.373475925103687 48.20502636564944
1393,16.377312582076847 48.211687052788626
1394,16.375408125755328 48.2085378448922
1395,16.37708226064286 48.207342061767775
1396,16.36596178398481 48.211364064937705
1397,16.37443989148476 48.206851493018306
1398,16.372237951828193 48.20487387628084
1399,16.375606403638745 48.20130497559524
1400,16.36508091702042 48.21345408268141
1401,16.37840558488556 48.20763026519734
1402,16.37607820861491 48.21136706005656
1403,16.364433910675334 48.21207246360364
1404,16.36763630442622 48.21037377457304
1405,16.363195682243894 48.21484264398917
1406,16.37329889251636 48.209326442025386
1407,16.36610530760359 48.210225705906126
1408,16.374567440676365 48.21073411273066
1409,16.374567440676365 48.21073411273066
1410,16.373908999731153 48.21106768969628
1411,16.3725158826506 48.204086072002596
1412,16.37851228274153 48.20665832843926
1413,16.371017341420426 48.20412772546423
1414,16.37329889251636 48.209326442025386
1415,16.362486545993644 48.21222875191348
1416,16.37567288479238 48.20063846436772
1417,16.36829540999506 48.20483230655951
1418,16.36756607264157 48.209499832940516
1419,16.363195682243894 48.21484264398917
1420,16.370539756501504 48.216594715964455
1421,16.376052186015905 48.20904717885633
1422,16.37567288479238 48.20063846436772
1423,16.37329889251636 48.209326442025386
1424,16.363195682243894 48.21484264398917
1425,16.37606711019927 48.208341475754395
1426,16.37554296361673 48.209269936705205
1427,16.36483089872486 48.21536367369701
1428,16.36602477295583 48.20699375359018
1429,16.3744213416058 48.21061556973758
1430,16.366824106814107 48.21118482261982
1431,16.367916146039853 48.21207683265625
1432,16.3744213416058 48.21061556973758
1433,16.369033890598377 48.212917383652886
1434,16.366456766342626 48.209339601948955
1435,16.3726581560301 48.20494335110816
1436,16.366570981262907 48.20136608900374
1437,16.367468231520952 48.208797399350935
1438,16.376296283486926 48.21166645813417
1439,16.36308928771231 48.213644413617594
1440,16.37152997344733 48.20050302756772
1441,16.371138261832247 48.20389305542587
1442,16.356266097436613 48.21263488403817
1443,16.369776303677938 48.21650626889274
1444,16.368246099570904 48.21233340728378
1445,16.363364928100687 48.20209219716998
1446,16.36729226768712 48.20195827984723
1447,16.36099665226047 48.2103508508131
1448,16.363746685634688 48.202279345142635
1449,16.36899991038039 48.21619620264169
1450,16.36099665226047 48.2103508508131
1451,16.369102801109353 48.21336378696842
1452,16.365117945665848 48.213021859578426
1453,16.365702755168694 48.21189656972975
1454,16.38090357080396 48.208628915977904
1455,16.377453596094647 48.202657897530706
1456,16.36458107862244 48.2080260506552
1457,16.376932003474995 48.20754464253294
1458,16.36384892578894 48.20202670072241
1459,16.376455162328384 48.208887678386354
1460,16.36255613059781 48.20991334268236
1461,16.377677575814662 48.20834845936839
1462,16.365396522820404 48.21333556217902
1463,16.376640294297957 48.206835899953475
1464,16.377393496604416 48.2082511911829
1465,16.374723998660915 48.210375750759304
1466,16.37442932637443 48.208975981208845
1467,16.377677575814662 48.20834845936839
1468,16.371703376833757 48.204780153652315
1469,16.367988412623998 48.20580305324524
1470,16.36992923297183 48.21700966374355
1471,16.36703293506129 48.208059263772306
1472,16.365261497670485 48.2122435434448
1473,16.36830379979584 48.21487271436195
1474,16.37384417808095 48.20614554302139
1475,16.378072588500746 48.207956391409816
1476,16.37622219906799 48.20897823164105
1477,16.375711182749896 48.203553246856146
1478,16.368215428239573 48.212775792003676
1479,16.365261497670485 48.2122435434448
1480,16.377731683838586 48.20782620350154
1481,16.36503967285897 48.205329312228116
1482,16.367317446945716 48.20598463052812
1483,16.378072588500746 48.207956391409816
1484,16.363510314429433 48.21186410764325
1485,16.36692412262439 48.21170631240903
1486,16.375248675235852 48.208872267147214
1487,16.366589494366846 48.20876741829081
1488,16.37862896693235 48.2073544506801
1489,16.37200087683905 48.20387723124763
1490,16.364204115896097 48.201599615979084
1491,16.372144573301746 48.21099945782375
1492,16.377427165279013 48.207767857350206
1493,16.36180714826474 48.21163040724657
1494,16.368547585169473 48.21182376717306
1495,16.377427165279013 48.207767857350206
1496,16.372511903538676 48.21081534097939
1497,16.371651229574976 48.20524520944274
1498,16.37670762468414 48.20878542659305
1499,16.38463712720294 48.211250633000326
1500,16.36469567072488 48.21416832994124
1501,16.36180714826474 48.21163040724657
1502,16.375659570675168 48.208336850188424
1503,16.37090097883575 48.20394232038231
1504,16.36260112478023 48.20584228127562
1505,16.373029830351374 48.20468899394082
1506,16.35853789240992 48.21221645917921
1507,16.36477594276525 48.21333652785812
1508,16.36414734070739 48.21293855324733
1509,16.374092458236646 48.20460060430592
1510,16.37784045319986 48.202595434757605
1511,16.377523107053612 48.21162348509249
1512,16.364791526822074 48.21184562910523
1513,16.377181563094993 48.20786012581791
1514,16.366994995389767 48.20783822060578
1515,16.37439035860666 48.2098930164477
1516,16.37439035860666 48.2098930164477
1517,16.369721403749324 48.21301359208229
1518,16.367649535500615 48.20957031691858
1519,16.366744065444156 48.21011874494838
1520,16.377883733772297 48.20801131879432
1521,16.377181563094993 48.20786012581791
1522,16.36260112478023 48.20584228127562
1523,16.367260503361504 48.208371087250526
1524,16.377319420647126 48.21165755259492
